1114245,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,FL,32219,Web,11/13/2014,11/13/2014,"Choice Recovery, Inc.",Closed with explanation,Yes,
1114488,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,TX,75006,Web,11/13/2014,11/13/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1114255,Bank account or service,Checking account,Deposits and withdrawals,,NY,11102,Web,11/13/2014,11/13/2014,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,
1115106,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,GA,31721,Web,11/13/2014,11/13/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1115890,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33461,Web,11/12/2014,11/13/2014,TransUnion,In progress,Yes,
1114180,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,CA,95035,Web,11/12/2014,11/13/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1114124,Consumer loan,Vehicle loan,Managing the loan or lease,,MI,48430,Fax,11/12/2014,11/13/2014,Ally Financial Inc.,In progress,Yes,
1113211,Debt collection,Credit card,False statements or representation,Indicated committed crime not paying,MS,39056,Web,11/12/2014,11/12/2014,"Premium Asset Services, LLC",In progress,Yes,
1112443,Consumer loan,Installment loan,Managing the loan or lease,,CA,94509,Web,11/12/2014,11/12/2014,Ally Financial Inc.,In progress,Yes,
1112618,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,FL,34743,Web,11/12/2014,11/12/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1111987,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,08852,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1113072,Credit reporting,,Incorrect information on credit report,Account status,NY,11514,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1112733,Debt collection,Medical,Communication tactics,Used obscene/profane/abusive language,WA,98034,Web,11/12/2014,11/12/2014,Renton Collections Inc.,Closed with explanation,Yes,
1112115,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NJ,08527,Web,11/12/2014,11/12/2014,Seterus,Closed with explanation,Yes,
1112705,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,CA,90716,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1113116,Credit reporting,,Incorrect information on credit report,Account status,CT,06242,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1112181,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,FL,34481,Web,11/12/2014,11/12/2014,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1113153,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,GA,30345,Web,11/12/2014,11/12/2014,"EOS Holdings, Inc.",Closed with explanation,Yes,
1112011,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,SC,29360,Web,11/12/2014,11/12/2014,Revenue Recovery Corporation,Closed with explanation,Yes,
1111995,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,CA,92809,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1113129,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,34442,Web,11/12/2014,11/12/2014,"Bayview Loan Servicing, LLC",In progress,Yes,
1112281,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IN,46228,Web,11/12/2014,11/12/2014,"GLA Collection Company, Inc.",Closed with explanation,Yes,Yes
1112540,Bank account or service,Checking account,Deposits and withdrawals,,NC,27408,Web,11/12/2014,11/12/2014,Wells Fargo,Closed with explanation,Yes,
1113127,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,FL,34442,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1112111,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,MD,21234,Web,11/12/2014,11/12/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1112120,Credit reporting,,Incorrect information on credit report,Information is not mine,NM,87507,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1112147,Consumer loan,Vehicle loan,Taking out the loan or lease,,MD,21228,Web,11/12/2014,11/12/2014,Navy FCU,In progress,Yes,
1114140,Credit reporting,,Incorrect information on credit report,Information is not mine,VA,22301,Web,11/12/2014,11/13/2014,TransUnion,Closed with explanation,Yes,
1112873,Bank account or service,Checking account,Deposits and withdrawals,,PA,19382,Phone,11/12/2014,11/13/2014,Santander Bank US,In progress,Yes,
1113204,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,DE,19977,Web,11/12/2014,11/12/2014,Stellar Recovery Inc.,Closed with explanation,Yes,
1112635,Bank account or service,Other bank product/service,Deposits and withdrawals,,FL,33160,Web,11/12/2014,11/12/2014,Bank of America,In progress,Yes,
1113061,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,MI,48304,Web,11/12/2014,11/12/2014,Flagstar Bank,In progress,Yes,
1113437,Credit reporting,,Incorrect information on credit report,Account status,TX,78234,Web,11/12/2014,11/12/2014,TransUnion,Closed with explanation,Yes,
1114110,Credit reporting,,Incorrect information on credit report,Account terms,AL,35043,Web,11/12/2014,11/13/2014,TransUnion,Closed with non-monetary relief,Yes,
1113286,Bank account or service,Checking account,Problems caused by my funds being low,,NY,13850,Web,11/12/2014,11/12/2014,First Niagara Bank,In progress,Yes,
1114054,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,UT,84327,Web,11/12/2014,11/12/2014,"Convergent Resources, Inc.",Closed with explanation,Yes,
1114238,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,OH,45844,Web,11/12/2014,11/13/2014,"Bayview Loan Servicing, LLC",In progress,Yes,
1111633,Debt collection,,Communication tactics,Threatened to take legal action,OK,73162,Web,11/11/2014,11/11/2014,"Southwest Recovery Services, Inc.",Closed with explanation,Yes,
1111667,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,ID,83704,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1111595,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,MO,63128,Web,11/11/2014,11/11/2014,Consumer Adjustment Company Incorporated,Closed with non-monetary relief,Yes,
1111629,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,OH,43213,Web,11/11/2014,11/11/2014,"Southwest Credit Systems, L.P.",In progress,Yes,
1111518,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77041,Web,11/11/2014,11/11/2014,Citibank,Closed with explanation,Yes,
1111551,Credit card,,Advertising and marketing,,MD,20854,Web,11/11/2014,11/11/2014,Navy FCU,In progress,Yes,
1111412,Credit reporting,,Incorrect information on credit report,Account terms,FL,33902,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
1111530,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,75006,Web,11/11/2014,11/11/2014,Equifax,Closed with explanation,Yes,
1111481,Credit reporting,,Incorrect information on credit report,Information is not mine,WI,54130,Web,11/11/2014,11/11/2014,TransUnion,In progress,Yes,
1111484,Credit reporting,,Incorrect information on credit report,Public record,WI,54130,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
1111411,Credit reporting,,Incorrect information on credit report,Account terms,FL,33902,Web,11/11/2014,11/11/2014,TransUnion,In progress,Yes,
1111435,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,AZ,85234,Web,11/11/2014,11/11/2014,"National Enterprise Systems, Inc.",Closed with explanation,Yes,
1111532,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,75006,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1111190,Credit reporting,,Incorrect information on credit report,Information is not mine,OR,97756,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,Yes
1111192,Debt collection,,Communication tactics,Threatened to take legal action,TN,37076,Web,11/11/2014,11/11/2014,Solidus Group LLC.,In progress,Yes,
1111689,Debt collection,,Improper contact or sharing of info,Contacted employer after asked not to,CA,92593,Web,11/11/2014,11/11/2014,Global United Arbitration LLC,Closed with monetary relief,Yes,Yes
1111544,Credit card,,Balance transfer,,NC,28203,Web,11/11/2014,11/11/2014,Citibank,Closed with monetary relief,Yes,
1111429,Credit reporting,,Incorrect information on credit report,Account terms,VA,23112,Web,11/11/2014,11/11/2014,Equifax,Closed with explanation,Yes,
1111473,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,NC,28748,Web,11/11/2014,11/11/2014,Equifax,Closed with non-monetary relief,Yes,
1111488,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IL,60657,Web,11/11/2014,11/11/2014,"EOS Holdings, Inc.",Closed with explanation,Yes,Yes
1111501,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MI,48602,Web,11/11/2014,11/11/2014,Solidus Group LLC.,Closed with explanation,Yes,
1111668,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,WA,98516,Web,11/11/2014,11/11/2014,"P.S.C., Inc",Closed with explanation,Yes,
1111644,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,TX,78414,Web,11/11/2014,11/11/2014,"Premium Asset Services, LLC",In progress,Yes,
1111547,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,FL,32256,Web,11/11/2014,11/11/2014,"Bayview Loan Servicing, LLC",In progress,Yes,
1111556,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,AK,99701,Web,11/11/2014,11/11/2014,Equifax,Closed with non-monetary relief,Yes,
1111691,Credit reporting,,Incorrect information on credit report,Account status,MO,65301,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1111721,Credit card,,Identity theft / Fraud / Embezzlement,,NC,28273,Web,11/11/2014,11/11/2014,Navy FCU,In progress,Yes,
1111753,Credit reporting,,Incorrect information on credit report,Account terms,MN,56096,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
1111730,Credit reporting,,Incorrect information on credit report,Account status,NC,28216,Web,11/11/2014,11/11/2014,TransUnion,In progress,Yes,
1111732,Credit reporting,,Incorrect information on credit report,Account status,NC,28216,Web,11/11/2014,11/11/2014,Equifax,Closed with explanation,Yes,
1111151,Debt collection,,Improper contact or sharing of info,Talked to a third party about my debt,TX,76106,Web,11/11/2014,11/11/2014,Turning Point Solutions LLC,Closed with non-monetary relief,Yes,
1111918,Bank account or service,Checking account,Using a debit or ATM card,,NY,11375,Web,11/11/2014,11/12/2014,RBS Citizens,Closed with explanation,Yes,
1111758,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,NV,89110,Web,11/11/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1112063,Credit reporting,,Incorrect information on credit report,Personal information,PA,16830,Web,11/11/2014,11/12/2014,TransUnion,Closed with non-monetary relief,Yes,
1112049,Credit reporting,,Incorrect information on credit report,Information is not mine,AZ,85635,Web,11/11/2014,11/12/2014,TransUnion,Closed with non-monetary relief,Yes,
1112055,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,IL,61571,Web,11/11/2014,11/12/2014,Equifax,Closed with explanation,Yes,
1112062,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,TX,77535,Web,11/11/2014,11/12/2014,Stellar Recovery Inc.,Closed with explanation,Yes,
1111456,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,DE,19709,Web,11/11/2014,11/11/2014,"CRA Collections, Inc",Closed with explanation,Yes,
1111154,Credit reporting,,Credit monitoring or identity protection,Billing dispute,MA,02150,Web,11/11/2014,11/11/2014,Equifax,In progress,Yes,
1111446,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,33810,Web,11/11/2014,11/11/2014,Equifax,Closed with explanation,Yes,
1111593,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,CA,92704,Web,11/11/2014,11/11/2014,"Allied Collection Services, Inc. (Nevada)",Closed with explanation,Yes,Yes
1111574,Debt collection,Auto,Disclosure verification of debt,Not given enough info to verify debt,FL,32514,Web,11/11/2014,11/11/2014,Nissan Motor Acceptance Corporation,In progress,Yes,
1112041,Credit reporting,,Incorrect information on credit report,Public record,NY,11789,Web,11/11/2014,11/12/2014,TransUnion,Closed with non-monetary relief,Yes,
1110394,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,32818,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1110178,Bank account or service,Savings account,Deposits and withdrawals,,FL,33313,Phone,11/10/2014,11/10/2014,TD Bank,Closed with monetary relief,Yes,
1109310,Credit reporting,,Incorrect information on credit report,Personal information,,44444,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1109765,Bank account or service,Checking account,"Account opening, closing, or management",,MA,02532,Phone,11/10/2014,11/10/2014,Santander Bank US,In progress,Yes,
1109309,Credit reporting,,Incorrect information on credit report,Personal information,IN,46052,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1110381,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,90067,Web,11/10/2014,11/10/2014,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1111284,Credit reporting,,Incorrect information on credit report,Personal information,WA,98391,Web,11/10/2014,11/11/2014,TransUnion,Closed with non-monetary relief,Yes,
1111292,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,SC,29349,Web,11/10/2014,11/11/2014,TransUnion,Closed with explanation,Yes,
1109795,Credit reporting,,Incorrect information on credit report,Information is not mine,SC,29360,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1111271,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,TX,77083,Web,11/10/2014,11/11/2014,Ocwen,Closed with explanation,Yes,
1109311,Credit reporting,,Incorrect information on credit report,Personal information,,44444,Web,11/10/2014,11/10/2014,TransUnion,In progress,Yes,
1109318,Credit reporting,,Incorrect information on credit report,Information is not mine,CA,90041,Web,11/10/2014,11/10/2014,TransUnion,Closed with explanation,Yes,
1111740,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NC,27513,Web,11/10/2014,11/11/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1109671,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,SC,29662,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1109917,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,SC,29325,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,
1111209,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,TX,77316,Web,11/10/2014,11/11/2014,TransUnion,In progress,Yes,
1111231,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,NC,27603,Web,11/10/2014,11/11/2014,Citibank,Closed with non-monetary relief,Yes,
1110728,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,NC,28025,Web,11/10/2014,11/10/2014,Equifax,Closed with explanation,Yes,Yes
1110569,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,CA,94611,Web,11/10/2014,11/10/2014,FMS Inc.,Closed with explanation,Yes,
1110574,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,GA,30094,Web,11/10/2014,11/10/2014,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,
